year,usd_gbp,wpi_us,wpi_uk
1976,1.8062,521.2,1087.8
1977,1.7455,552.9,1284.5
1978,1.9195,595.9,1411.4
1979,2.1178,670.6,1565.7
1980,2.324,765.6,1784.8
1981,2.0095,835,1956.5
1982,1.7469,851.7,2105.9
1983,1.5158,862.3,2220.4
1984,1.3301,883.3,2357.3
1985,1.2833,879,2489.2
1986,1.467,853.5,2601.3
1987,1.6389,876.3,2698.3
1988,1.7814,911.5,2817.8
1989,1.6397,956.3,2962.2
1990,1.7841,990.6,3064.3
