date,spot_rate,forward_30,spot_30
1976-02-27,0.4932,0.4946,0.5221
1976-03-05,0.4983,0.4999,0.5372
1976-03-12,0.5171,0.52,0.5394
1976-03-19,0.5203,0.5231,0.5414
1976-03-26,0.52,0.5218,0.5461
1976-04-02,0.5339,0.5363,0.5498
1976-04-09,0.5436,0.5464,0.5453
1976-04-16,0.5382,0.54,0.5537
1976-04-23,0.5459,0.5488,0.5579
1976-04-30,0.5427,0.545,0.5828
1976-05-07,0.5484,0.5513,0.5656
1976-05-14,0.5466,0.5488,0.5605
1976-05-21,0.5605,0.5629,0.564
1976-05-28,0.5663,0.5688,0.5615
1976-06-04,0.5828,0.5857,0.5546
1976-06-11,0.5643,0.5671,0.5581
1976-06-18,0.5626,0.566,0.5622
1976-06-25,0.5645,0.5685,0.5621
1976-07-02,0.5557,0.559,0.558
1976-07-09,0.5596,0.5635,0.5591
1976-07-16,0.5635,0.5675,0.5602
1976-07-23,0.5612,0.5646,0.565
1976-07-30,0.5605,0.5638,0.5635
1976-08-06,0.5595,0.5631,0.565
1976-08-13,0.5605,0.5644,0.5784
1976-08-20,0.5609,0.564,0.5833
1976-08-27,0.5639,0.5674,0.6006
1976-09-03,0.5642,0.568,0.6105
1976-09-10,0.5739,0.5782,0.604
1976-09-17,0.576,0.5803,0.6064
1976-09-24,0.5848,0.5891,0.6266
1976-10-01,0.597,0.6035,0.6281
1976-10-08,0.5995,0.6059,0.6105
1976-10-15,0.6077,0.6163,0.6057
1976-10-22,0.6064,0.6137,0.6099
1976-10-29,0.6234,0.6315,0.601
1976-11-05,0.6068,0.6118,0.6035
1976-11-12,0.6151,0.6204,0.5936
1976-11-19,0.5951,0.6002,0.5945
1976-11-26,0.6055,0.6111,0.5881
1976-12-03,0.6013,0.6068,0.5853
1976-12-10,0.598,0.6037,0.5862
1976-12-17,0.599,0.6042,0.5821
1976-12-24,0.5928,0.5987,0.5817
1976-12-31,0.5872,0.5933,0.5826
1977-01-07,0.5865,0.5917,0.5828
1977-01-14,0.5838,0.5888,0.5863
1977-01-21,0.5831,0.5875,0.5853
1977-01-28,0.5829,0.5869,0.5855
1977-02-04,0.5833,0.5869,0.5836
1977-02-11,0.5838,0.5875,0.5828
1977-02-18,0.5867,0.5906,0.5828
1977-02-25,0.5854,0.5891,0.5814
1977-03-04,0.5835,0.5879,0.5816
1977-03-11,0.5827,0.5861,0.5817
1977-03-18,0.5818,0.5849,0.5816
1977-03-25,0.582,0.5847,0.5815
1977-04-01,0.5815,0.5835,0.5816
1977-04-08,0.5818,0.5836,0.5815
1977-04-15,0.5818,0.5839,0.5818
1977-04-22,0.5816,0.5833,0.5824
1977-04-29,0.5816,0.5832,0.5818
1977-05-06,0.5818,0.5832,0.5818
1977-05-13,0.5815,0.5823,0.5818
1977-05-20,0.5821,0.5834,0.5817
1977-05-27,0.5823,0.5847,0.5811
1977-06-03,0.5823,0.5852,0.5812
1977-06-10,0.5818,0.584,0.5814
1977-06-17,0.5815,0.5832,0.5814
1977-06-24,0.5815,0.583,0.5814
1977-07-01,0.5814,0.5827,0.575
1977-07-08,0.5814,0.5827,0.5752
1977-07-15,0.5815,0.5835,0.5743
1977-07-22,0.5816,0.5827,0.5745
1977-07-29,0.5754,0.5761,0.5738
1977-08-05,0.5748,0.5753,0.5739
1977-08-12,0.5752,0.5757,0.5733
1977-08-19,0.5746,0.5749,0.5741
1977-08-26,0.5741,0.5745,0.5734
1977-09-02,0.5739,0.5741,0.5692
1977-09-09,0.5736,0.5737,0.5683
1977-09-16,0.5735,0.5732,0.5641
1977-09-23,0.5737,0.5734,0.5631
1977-09-30,0.5723,0.5716,0.5435
1977-10-07,0.5682,0.5674,0.5495
1977-10-14,0.5662,0.5647,0.5502
1977-10-21,0.5646,0.5635,0.5517
1977-10-28,0.5628,0.5619,0.5509
1977-11-04,0.5529,0.5517,0.5478
1977-11-11,0.5513,0.55,0.541
1977-11-18,0.5495,0.548,0.5288
1977-11-25,0.54990000000000006,0.5497,0.5376
1977-12-02,0.5489,0.5486,0.5059
1977-12-09,0.5461,0.5456,0.5191
1977-12-16,0.5402,0.54,0.5211
1977-12-23,0.5371,0.5369,0.5137
1977-12-30,0.5249,0.5247,0.5133
1978-01-06,0.5253,0.5249,0.5176
1978-01-13,0.5173,0.5167,0.5171
1978-01-20,0.5159,0.5154,0.5143
1978-01-27,0.5133,0.5132,0.5124
1978-02-03,0.516,0.5159,0.517
1978-02-10,0.5168,0.5167,0.5304
1978-02-17,0.5141,0.5143,0.5253
1978-02-24,0.5122,0.5121,0.5306
1978-03-03,0.5157,0.5158,0.5358
1978-03-10,0.5219,0.5216,0.5319
1978-03-17,0.5226,0.5226,0.5422
1978-03-24,0.5339,0.534,0.5505
1978-03-31,0.5386,0.5386,0.5475
1978-04-07,0.5338,0.5337,0.552
1978-04-14,0.5379,0.5379,0.5507
1978-04-21,0.5473,0.549,0.5517
1978-04-28,0.5467,0.5479,0.5485
1978-05-05,0.546,0.5471,0.5491
1978-05-12,0.5495,0.5507,0.5448
1978-05-19,0.5519,0.5531,0.5416
1978-05-26,0.5523,0.5531,0.5396
1978-06-02,0.5476,0.5488,0.5368
1978-06-09,0.5474,0.5493,0.5298
1978-06-16,0.5462,0.5482,0.531
1978-06-23,0.5417,0.5429,0.5189
1978-06-30,0.5375,0.5388,0.5181
1978-07-07,0.535,0.5359,0.5133
1978-07-14,0.5297,0.5307,0.5034
1978-07-21,0.5231,0.5245,0.5208
1978-07-28,0.5227,0.5237,0.5145
1978-08-04,0.518,0.519,0.5161
1978-08-11,0.5092,0.5106,0.5132
1978-08-18,0.5097,0.5107,0.5059
1978-08-25,0.52,0.5209,0.5061
1978-09-01,0.5145,0.5155,0.5045
1978-09-08,0.5149,0.5163,0.5049
1978-09-15,0.5103,0.5116,0.5013
1978-09-22,0.5079,0.5093,0.4985
1978-09-29,0.5068,0.5081,0.4886
1978-10-06,0.5053,0.5065,0.5063
1978-10-13,0.5025,0.505,0.5081
1978-10-20,0.5002,0.501,0.5137
1978-10-27,0.4839,0.4842,0.5151
1978-11-03,0.5026,0.5031,0.5127
1978-11-10,0.5076,0.5086,0.5085
1978-11-17,0.5136,0.5183,0.4943
1978-11-24,0.5137,0.5146,0.4988
1978-12-01,0.5163,0.5169,0.4946
1978-12-08,0.5122,0.5129,0.4989
1978-12-15,0.5056,0.5061,0.4976
1978-12-22,0.498,0.4983,0.5025
1978-12-29,0.4912,0.4915,0.504
1979-01-05,0.4953,0.4954,0.4979
1979-01-12,0.5025,0.5034,0.5002
1979-01-19,0.4981,0.4988,0.499
1979-01-26,0.5014,0.5023,0.4963
1979-02-02,0.5052,0.5064,0.4948
1979-02-09,0.4997,0.501,0.49
1979-02-16,0.4991,0.5001,0.4933
1979-02-23,0.4975,0.4985,0.4919
1979-03-02,0.4947,0.4955,0.4838
1979-03-09,0.4904,0.4914,0.4764
1979-03-16,0.4909,0.4914,0.4808
1979-03-23,0.4916,0.4924,0.4869
1979-03-30,0.4852,0.486,0.4847
1979-04-06,0.4762,0.4766,0.4838
1979-04-13,0.4801,0.4804,0.4884
1979-04-20,0.4829,0.4834,0.4902
1979-04-27,0.4879,0.4882,0.4876
1979-05-04,0.4787,0.4793,0.481
1979-05-11,0.4873,0.4878,0.4776
1979-05-18,0.4873,0.4877,0.4721
1979-05-25,0.4873,0.4876,0.4638
1979-06-01,0.4817,0.4823,0.4566
1979-06-08,0.4836,0.484,0.4517
1979-06-15,0.4763,0.4776,0.4425
1979-06-22,0.466,0.4672,0.4304
1979-06-29,0.461,0.4623,0.4444
1979-07-06,0.448,0.4492,0.4519
1979-07-13,0.4493,0.4508,0.4465
1979-07-20,0.4376,0.4385,0.4509
1979-07-27,0.4306,0.4314,0.4447
1979-08-03,0.4405,0.4415,0.4461
1979-08-10,0.4464,0.4473,0.4489
1979-08-17,0.4507,0.4515,0.466
1979-08-24,0.4495,0.4501,0.4615
1979-08-31,0.4441,0.4449,0.4565
1979-09-07,0.4449,0.4456,0.4663
1979-09-14,0.459,0.4598,0.4642
1979-09-21,0.4606,0.4613,0.4676
1979-09-28,0.4548,0.455,0.4816
1979-10-05,0.4579,0.4579,0.477
1979-10-12,0.4627,0.462,0.471
1979-10-19,0.4648,0.4644,0.463
1979-10-26,0.4737,0.4729,0.4618
1979-11-02,0.4851,0.4844,0.4581
1979-11-09,0.4792,0.4789,0.4541
1979-11-16,0.466,0.4671,0.455
1979-11-23,0.4627,0.4639,0.4533
1979-11-30,0.4559,0.4567,0.449
1979-12-07,0.4606,0.4614,0.4428
1979-12-14,0.4554,0.4557,0.4394
1979-12-21,0.4556,0.4562,0.4386
1979-12-28,0.4484,0.4492,0.4413
1980-01-04,0.4472,0.4477,0.4352
1980-01-11,0.4425,0.4433,0.4334
1980-01-18,0.4384,0.4397,0.4396
1980-01-25,0.4387,0.4416,0.4374
1980-02-01,0.4403,0.4417,0.4411
1980-02-08,0.4343,0.4355,0.4506
1980-02-15,0.4333,0.4345,0.4586
1980-02-22,0.439,0.4396,0.4587
1980-02-29,0.4388,0.4397,0.4647
1980-03-07,0.4495,0.4491,0.4566
1980-03-14,0.4536,0.4527,0.4554
1980-03-21,0.4568,0.4562,0.4432
1980-03-28,0.4598,0.4595,0.4378
1980-04-04,0.4672,0.4663,0.4373
1980-04-11,0.456,0.4553,0.4373
1980-04-18,0.4488,0.4486,0.4373
1980-04-25,0.4377,0.4379,0.4216
1980-05-02,0.4418,0.4432,0.4315
1980-05-09,0.4387,0.441,0.428
1980-05-16,0.4376,0.4398,0.429
1980-05-23,0.4284,0.4316,0.4277
1980-05-30,0.429,0.4313,0.4242
1980-06-06,0.4286,0.4314,0.4197
1980-06-13,0.4263,0.4293,0.4217
1980-06-20,0.428,0.431,0.4199
1980-06-27,0.4263,0.4292,0.4219
1980-07-04,0.4235,0.4263,0.4218
1980-07-11,0.4211,0.4235,0.4206
1980-07-18,0.4211,0.4236,0.4226
1980-07-25,0.4173,0.4197,0.4189
1980-08-01,0.4283,0.4307,0.4139
1980-08-08,0.4223,0.4246,0.4164
1980-08-15,0.4209,0.4231,0.4182
1980-08-22,0.4227,0.4252,0.4159
1980-08-29,0.4182,0.4201,0.419
1980-09-05,0.4137,0.4156,0.4182
1980-09-12,0.4142,0.4161,0.4149
1980-09-19,0.4195,0.4211,0.4103
1980-09-26,0.4174,0.4186,0.4097
1980-10-03,0.4188,0.4195,0.4087
1980-10-10,0.4164,0.4174,0.4146
1980-10-17,0.4138,0.4148,0.4181
1980-10-24,0.4071,0.408,0.4243
1980-10-31,0.41,0.4105,0.4272
1980-11-07,0.4122,0.4117,0.4279
1980-11-14,0.4144,0.4147,0.4314
1980-11-21,0.4209,0.4205,0.4219
1980-11-28,0.4235,0.4217,0.4209
1980-12-05,0.4243,0.4219,0.4131
1980-12-12,0.4324,0.429,0.4186
1980-12-19,0.4305,0.4276,0.4125
1980-12-26,0.4219,0.4197,0.4157
1981-01-02,0.4203,0.4177,0.4253
1981-01-09,0.4162,0.4138,0.4277
1981-01-16,0.4168,0.4144,0.4397
1981-01-23,0.4156,0.4133,0.4484
1981-01-30,0.419,0.4176,0.4552
1981-02-06,0.4281,0.4268,0.4574
1981-02-13,0.4354,0.434,0.4477
1981-02-20,0.4327,0.4319,0.4411
1981-02-27,0.4548,0.4534,0.446
1981-03-06,0.4571,0.4554,0.4537
1981-03-13,0.4513,0.4501,0.4623
1981-03-20,0.4409,0.4399,0.4605
1981-03-27,0.446,0.4451,0.4637
1981-04-03,0.4524,0.4514,0.4735
1981-04-10,0.4565,0.4551,0.4775
1981-04-17,0.4646,0.4624,0.4781
1981-04-24,0.461,0.4594,0.4836
1981-05-01,0.4671,0.4649,0.497
1981-05-08,0.4723,0.4688,0.509
1981-05-15,0.4813,0.4776,0.5
1981-05-22,0.4843,0.4808,0.5084
1981-05-29,0.483,0.4805,0.515
1981-06-05,0.5184,0.5155,0.5227
1981-06-12,0.5126,0.5096,0.5381
1981-06-19,0.5083,0.5052,0.5411
1981-06-26,0.5151,0.5115,0.5366
1981-07-03,0.5281,0.5245,0.5532
1981-07-10,0.5283,0.5247,0.5595
1981-07-17,0.5328,0.5296,0.5487
1981-07-24,0.5398,0.5367,0.5445
1981-07-31,0.5389,0.5361,0.5431
1981-08-07,0.5584,0.5551,0.5599
1981-08-14,0.5531,0.54990000000000006,0.5422
1981-08-21,0.5352,0.5323,0.5467
1981-08-28,0.5441,0.5419,0.5587
1981-09-04,0.542,0.5397,0.5369
1981-09-11,0.5571,0.5551,0.5363
1981-09-18,0.5457,0.5449,0.5447
1981-09-25,0.5596,0.5589,0.5513
1981-10-02,0.5461,0.5458,0.5321
1981-10-09,0.5249,0.5249,0.5309
1981-10-16,0.5444,0.5443,0.5283
1981-10-23,0.5504,0.5504,0.5234
1981-10-30,0.5419,0.5422,0.5135
1981-11-06,0.5338,0.5342,0.5173
1981-11-13,0.5249,0.5255,0.533
1981-11-20,0.524,0.525,0.5306
1981-11-27,0.5128,0.5142,0.5266
1981-12-04,0.5126,0.5135,0.5202
1981-12-11,0.5322,0.5329,0.533
1981-12-18,0.5336,0.5345,0.5307
1981-12-25,0.5283,0.5289,0.5332
1982-01-01,0.5234,0.5241,0.5346
1982-01-08,0.5222,0.523,0.5404
1982-01-15,0.5334,0.534,0.5441
1982-01-22,0.5347,0.5348,0.5468
1982-01-29,0.5309,0.5309,0.5513
1982-02-05,0.5353,0.5348,0.5438
1982-02-12,0.54,0.5392,0.5535
1982-02-19,0.5379,0.5373,0.5555
1982-02-26,0.551,0.5506,0.5609
1982-03-05,0.5435,0.543,0.5681
1982-03-12,0.5547,0.554,0.5669
1982-03-19,0.5552,0.5543,0.5644
1982-03-26,0.5593,0.5584,0.5616
1982-04-02,0.5582,0.5571,0.5536
1982-04-09,0.5701,0.5688,0.5454
1982-04-16,0.5694,0.5681,0.5547
1982-04-23,0.5647,0.5638,0.5536
1982-04-30,0.5588,0.5578,0.561
1982-05-07,0.5473,0.5463,0.5641
1982-05-14,0.5495,0.5485,0.569
1982-05-21,0.5604,0.5596,0.58
1982-05-28,0.558,0.5572,0.5754
1982-06-04,0.5564,0.5557,0.58
1982-06-11,0.5632,0.5623,0.5773
1982-06-18,0.576,0.5745,0.5757
1982-06-25,0.5816,0.58,0.5696
1982-07-02,0.576,0.5745,0.5797
1982-07-09,0.5807,0.5794,0.59
1982-07-16,0.5822,0.5812,0.5786
1982-07-23,0.5724,0.5721,0.5664
1982-07-30,0.5744,0.574,0.5829
1982-08-06,0.5851,0.5848,0.5804
1982-08-13,0.5843,0.584,0.5834
1982-08-20,0.5735,0.574,0.583
1982-08-27,0.5718,0.572,0.59
1982-09-03,0.5754,0.5752,0.592
1982-09-10,0.5836,0.5833,0.582
1982-09-17,0.5851,0.5847,0.5865
1982-09-24,0.5852,0.5849,0.5932
1982-10-01,0.5893,0.5889,0.5952
1982-10-08,0.5847,0.5844,0.6009
1982-10-15,0.587,0.5868,0.616
1982-10-22,0.5887,0.5885,0.6285
1982-10-29,0.598,0.5979,0.6129
1982-11-05,0.5996,0.5993,0.6144
1982-11-12,0.6049,0.6046,0.6188
1982-11-19,0.6188,0.6192,0.6207
1982-11-26,0.625,0.6252,0.6164
1982-12-03,0.6105,0.6108,0.6166
1982-12-10,0.6181,0.6187,0.6337
1982-12-17,0.6175,0.6181,0.6369
1982-12-24,0.6223,0.623,0.6515
1982-12-31,0.6198,0.6203,0.657
1983-01-07,0.6242,0.625,0.6484
1983-01-14,0.633,0.6341,0.6502
1983-01-21,0.6346,0.6359,0.6603
1983-01-28,0.651,0.6521,0.6557
1983-02-04,0.659,0.6599,0.6606
1983-02-11,0.6468,0.648,0.6656
1983-02-18,0.6472,0.6483,0.6757
1983-02-25,0.6553,0.6567,0.6867
1983-03-04,0.6602,0.6613,0.6605
1983-03-11,0.6651,0.6662,0.6476
1983-03-18,0.669,0.6698,0.6437
1983-03-25,0.6854,0.6861,0.6384
1983-04-01,0.6752,0.6758,0.6336
1983-04-08,0.6648,0.6652,0.6394
1983-04-15,0.6481,0.6486,0.6436
1983-04-22,0.6462,0.6468,0.637
1983-04-29,0.6398,0.6405,0.6279
1983-05-06,0.6341,0.6348,0.6353
1983-05-13,0.6387,0.6394,0.6614
1983-05-20,0.6423,0.643,0.6551
1983-05-27,0.6234,0.6238,0.6535
1983-06-03,0.6394,0.6398,0.6534
1983-06-10,0.6325,0.6325,0.6521
1983-06-17,0.6536,0.6537,0.6572
1983-06-24,0.6464,0.6462,0.6556
1983-07-01,0.6518,0.6517,0.6727
1983-07-08,0.649,0.6487,0.6734
1983-07-15,0.6577,0.6574,0.662
1983-07-22,0.656,0.6559,0.657
1983-07-29,0.6574,0.6571,0.67
1983-08-05,0.6752,0.6747,0.6696
1983-08-12,0.6761,0.6757,0.6705
1983-08-19,0.658,0.6576,0.6642
1983-08-26,0.6633,0.6631,0.6676
1983-09-02,0.669,0.6687,0.6729
1983-09-09,0.6687,0.6684,0.6616
1983-09-16,0.667,0.6668,0.6668
1983-09-23,0.6666,0.6664,0.6673
1983-09-30,0.6685,0.6685,0.6739
1983-10-07,0.6664,0.6663,0.6746
1983-10-14,0.6689,0.6685,0.6729
1983-10-21,0.6656,0.6653,0.6801
1983-10-28,0.6685,0.6682,0.6865
1983-11-04,0.6727,0.6724,0.6914
1983-11-11,0.6729,0.6725,0.7026
1983-11-18,0.6759,0.6755,0.7047
1983-11-25,0.6846,0.6843,0.6986
1983-12-02,0.6856,0.6851,0.7068
1983-12-09,0.6964,0.6957,0.7137
1983-12-16,0.706,0.705,0.7105
1983-12-23,0.6992,0.6983,0.7102
1983-12-30,0.6892,0.6887,0.7052
1984-01-06,0.7104,0.7099,0.7058
1984-01-13,0.7138,0.7134,0.6971
1984-01-20,0.705,0.7046,0.6904
1984-01-27,0.7114,0.711,0.6814
1984-02-03,0.7016,0.7013,0.6724
1984-02-10,0.706,0.7056,0.6854
1984-02-17,0.6923,0.6919,0.6959
1984-02-24,0.6819,0.6814,0.6936
1984-03-02,0.6748,0.6742,0.6999
1984-03-09,0.6838,0.6831,0.6964
1984-03-16,0.6889,0.6879,0.7049
1984-03-23,0.6999,0.6987,0.7091
1984-03-30,0.6944,0.6933,0.7164
1984-04-06,0.7027,0.7014,0.7205
1984-04-13,0.6983,0.6971,0.7215
1984-04-20,0.7034,0.702,0.7194
1984-04-27,0.7125,0.7111,0.7231
1984-05-04,0.7086,0.7074,0.7165
1984-05-11,0.723,0.7213,0.7218
1984-05-18,0.7206,0.7192,0.727
1984-05-25,0.7218,0.7204,0.7383
1984-06-01,0.7181,0.717,0.7427
1984-06-08,0.7159,0.7146,0.7637
1984-06-15,0.7244,0.7229,0.7547
1984-06-22,0.7334,0.7314,0.7582
1984-06-29,0.7391,0.7371,0.7689
1984-07-06,0.7539,0.7523,0.7663
1984-07-13,0.7598,0.7599,0.7576
1984-07-20,0.7551,0.7553,0.7627
1984-07-27,0.7602,0.7606,0.7638
1984-08-03,0.7573,0.7575,0.779
1984-08-10,0.757,0.7564,0.7822
1984-08-17,0.7559,0.7551,0.8069
1984-08-24,0.7628,0.7621,0.8157
1984-08-31,0.7623,0.7616,0.8013
1984-09-07,0.782,0.781,0.8117
1984-09-14,0.7877,0.787,0.8322
1984-09-21,0.8224,0.8218,0.8306
1984-09-28,0.801,0.8005,0.8217
1984-10-05,0.8037,0.8033,0.7871
1984-10-12,0.816,0.8158,0.7888
1984-10-19,0.8372,0.8374,0.8021
1984-10-26,0.819,0.8195,0.8363
1984-11-02,0.7992,0.7996,0.8251
1984-11-09,0.7949,0.7952,0.8358
1984-11-16,0.7933,0.7935,0.847
1984-11-23,0.8172,0.8177,0.8514
1984-11-30,0.8331,0.8336,0.8741
1984-12-07,0.8295,0.8297,0.8768
1984-12-14,0.8403,0.8408,0.8925
1984-12-21,0.8554,0.8562,0.8982
1984-12-28,0.858,0.8587,0.8877
1985-01-04,0.8673,0.8681,0.8995
1985-01-11,0.8883,0.8898,0.9191
1985-01-18,0.8909,0.8937,0.9204
1985-01-25,0.8929,0.8958,0.9579
1985-02-01,0.8869,0.8898,0.9341
1985-02-08,0.8943,0.8975,0.9276
1985-02-15,0.9058,0.9094,0.9145
1985-02-22,0.9268,0.9305,0.8511
1985-03-01,0.9333,0.9376,0.8167
1985-03-08,0.9403,0.9441,0.8271
1985-03-15,0.9268,0.9308,0.7797
1985-03-22,0.8496,0.853,0.8135
1985-03-29,0.8052,0.8083,0.8035
1985-04-05,0.8372,0.8402,0.8316
1985-04-12,0.7978,0.8004,0.7901
1985-04-19,0.7737,0.7763,0.7834
1985-04-26,0.8319,0.835,0.7965
1985-05-03,0.8271,0.8302,0.7874
1985-05-10,0.8117,0.8147,0.7918
1985-05-17,0.7905,0.7935,0.7623
1985-05-24,0.7915,0.7945,0.7773
1985-05-31,0.7847,0.7879,0.7685
1985-06-07,0.7849,0.7881,0.7405
1985-06-14,0.7854,0.7885,0.7189
1985-06-21,0.7843,0.7876,0.7067
1985-06-28,0.7722,0.7754,0.7
1985-07-05,0.7584,0.7615,0.7541
1985-07-12,0.7215,0.7241,0.7236
1985-07-19,0.7121,0.7146,0.7199
1985-07-26,0.7106,0.7132,0.7121
1985-08-02,0.7305,0.7328,0.7267
1985-08-09,0.7369,0.739,0.759
1985-08-16,0.7138,0.7158,0.7508
1985-08-23,0.7138,0.7162,0.702
1985-08-30,0.7143,0.7164,0.7052
1985-09-06,0.7477,0.7499,0.7067
1985-09-13,0.7471,0.749,0.7082
1985-09-20,0.739,0.7409,0.6974
1985-09-27,0.7097,0.7119,0.693
1985-10-04,0.6978,0.6999,0.6963
1985-10-11,0.7082,0.7103,0.7015
1985-10-18,0.7015,0.7036,0.6954
1985-10-25,0.7022,0.7043,0.6863
1985-11-01,0.6949,0.6969,0.6761
1985-11-08,0.706,0.7079,0.6949
1985-11-15,0.7008,0.7025,0.6961
1985-11-22,0.6913,0.6933,0.7005
1985-11-29,0.6741,0.6759,0.6928
1985-12-06,0.677,0.6789,0.6925
1985-12-13,0.6932,0.6952,0.6954
1985-12-20,0.703,0.705,0.7107
1985-12-27,0.6974,0.6992,0.7145
1986-01-03,0.692,0.694,0.7194
1986-01-10,0.687,0.6897,0.7055
1986-01-17,0.6961,0.6987,0.6916
1986-01-24,0.7168,0.7197,0.6723
1986-01-31,0.7075,0.7099,0.6817
1986-02-07,0.7107,0.7133,0.6899
1986-02-14,0.705,0.7075,0.6856
1986-02-21,0.6923,0.6947,0.6671
1986-02-28,0.681,0.6836,0.6812
1986-03-07,0.6894,0.6922,0.6848
1986-03-14,0.6819,0.6845,0.6678
1986-03-21,0.6667,0.6689,0.6549
1986-03-28,0.6748,0.6773,0.646
1986-04-04,0.6873,0.6896,0.6544
1986-04-11,0.6765,0.6786,0.6468
1986-04-18,0.6585,0.6605,0.6551
1986-04-25,0.653,0.6549,0.6707
1986-05-02,0.6564,0.6585,0.6717
1986-05-09,0.6491,0.6512,0.653
1986-05-16,0.6559,0.6577,0.6645
1986-05-23,0.6696,0.6713,0.6613
1986-05-30,0.6748,0.6764,0.6491
1986-06-06,0.6642,0.6656,0.6518
1986-06-13,0.6598,0.6612,0.6698
1986-06-20,0.6658,0.6673,0.6696
1986-06-27,0.6577,0.6593,0.6696
1986-07-04,0.6466,0.6483,0.6748
1986-07-11,0.6599,0.6617,0.6727
1986-07-18,0.6687,0.6706,0.6652
1986-07-25,0.6714,0.6732,0.6758
1986-08-01,0.6707,0.6726,0.6689
1986-08-08,0.6772,0.6792,0.677
1986-08-15,0.6687,0.6706,0.6784
1986-08-22,0.6661,0.6684,0.6906
1986-08-29,0.6764,0.6787,0.6918
1986-09-05,0.666,0.6682,0.6958
1986-09-12,0.6757,0.6777,0.6998
1986-09-19,0.6764,0.6784,0.6976
1986-09-26,0.6958,0.6981,0.707
1986-10-03,0.6946,0.6972,0.7047
1986-10-10,0.6998,0.7024,0.7055
1986-10-17,0.6993,0.7025,0.7063
1986-10-24,0.7067,0.7097,0.7057
1986-10-31,0.714,0.7169,0.6993
1986-11-07,0.7008,0.7036,0.7023
1986-11-14,0.701,0.7037,0.6978
1986-11-21,0.7065,0.7096,0.694
1986-11-28,0.6959,0.6986,0.6819
1986-12-05,0.7008,0.7035,0.681
1986-12-12,0.701,0.7037,0.6705
1986-12-19,0.7027,0.705,0.6587
1986-12-26,0.6859,0.6877,0.6464
1987-01-02,0.6693,0.6719,0.6572
1987-01-09,0.6774,0.6801,0.6568
1987-01-16,0.6642,0.6669,0.6573
1987-01-23,0.6562,0.6589,0.6496
1987-01-30,0.6534,0.6557,0.6475
1987-02-06,0.6621,0.6645,0.6315
1987-02-13,0.6598,0.662,0.6338
1987-02-20,0.6537,0.656,0.6262
1987-02-27,0.647,0.6495,0.624
1987-03-06,0.6311,0.6334,0.6202
1987-03-13,0.6337,0.6359,0.6141
1987-03-20,0.6258,0.6275,0.6141
1987-03-27,0.6225,0.6243,0.602
1987-04-03,0.6208,0.6225,0.5929
1987-04-10,0.6156,0.6173,0.6009
1987-04-17,0.6135,0.615,0.5952
1987-04-24,0.6066,0.6081,0.6057
