firm_id,total_cost,output,price_labor,price_capital,price_fuel,labor_share,capital_share,fuel_share
114,55.1764,10855,8061.96,71.49,31.7601,0.1192,0.2362,0.6446000000000001
125,48.1125,11114,8413.86,69.975,22.5536,0.1301,0.2969,0.5730000000000001
139,76.2528,11667,10436.3,80.66,46.0701,0.112,0.1708,0.7172
169,66.1032,11837,8709.43,75.379,31.3321,0.1627,0.2103,0.627
118,68.48,12542,8142.84,80.385,35.7882,0.1336,0.1688,0.6976
126,79.0705,12706,9282.51,70.853,37.2477,0.1108,0.2011,0.6880999999999999
113,45.1827,12936,8320.06,65.76,22.033,0.1027,0.1992,0.6980999999999999
106,41.9016,12954,6460.64,62.33,21.755,0.0865,0.2194,0.6940999999999999
129,77.8849,13702,7113.79,70.85,34.9616,0.1212,0.2121,0.6667000000000001
119,97.3859,13846,7786.37,88.54,44.1571,0.1003,0.2066,0.6931
117,80.3593,16311,7282.61,81.55,40.9692,0.0527,0.1337,0.8136
176,79.6207,16508,9404.97,78.044,42.2086,0.1501,0.1556,0.6943
135,90.7168,17280,9191.47,72.967,36.8816,0.0918,0.1795,0.7287
109,58.1154,17875,6288.41,73.395,20.6191,0.0658,0.2781,0.6561
174,107.978,18455,6690.23,76.3,32.9654,0.1513,0.2101,0.6386000000000001
140,134.228,19445,9829.32,67.58,38.8027,0.1756,0.1834,0.641
171,90.3718,21956,7954.47,83.338,22.9115,0.1169,0.2984,0.5847
170,113.256,22522,9500.78,76.732,25.0289,0.1961,0.2604,0.5435000000000001
127,111.868,23217,6873.73,83.88,33.3944,0.0849,0.2007,0.7144
142,125.336,24001,8047.35,74.372,33.0932,0.0998,0.2457,0.6545
137,183.232,27118,9914.36,78.48,41.7578,0.128,0.2265,0.6455
130,87.1015,27708,6378.23,63.6,20.3,0.106,0.2257,0.6683
144,240.514,29613,9312.93,81.75,41.8872,0.1561,0.2017,0.6422
143,191.563,30958,9810.1,69.541,36.3076,0.1636,0.1524,0.684
141,168.378,34212,5683.83,80.385,40.5286,0.0651,0.1361,0.7988
138,169.235,38343,9117.16,65.992,31.5897,0.0663,0.2192,0.7144999999999999
175,269.773,46870,9761.38,69.541,33.1999,0.1594,0.2194,0.6212
172,240.486,53918,6068.87,78.38,31.1954,0.0966,0.1846,0.7188
